full_name,url,clone_url,commit_sha,status,klass,stars,license,language,detected_tools,component_count,total_tokens,always_loaded,findings_total,findings_file,findings_file_fs,findings_pairwise,findings_setup,scan_seconds
marsevafin-boop/X4CodeVSCODE,https://github.com/marsevafin-boop/X4CodeVSCODE,https://github.com/marsevafin-boop/X4CodeVSCODE.git,3ad577f0330735d9458417450da212a611c5796a,ok,EMPTY,1,,TypeScript,,0,0,0,0,0,0,0,0,10.33
matank001/cursor-security-rules,https://github.com/matank001/cursor-security-rules,https://github.com/matank001/cursor-security-rules.git,ebbe0abd48ba08cadfaa3723ebfdf4914081e682,ok,EMPTY,379,MIT,,,0,0,0,0,0,0,0,0,10.71
Meldh-LLC/claude-model-switch-detector,https://github.com/Meldh-LLC/claude-model-switch-detector,https://github.com/Meldh-LLC/claude-model-switch-detector.git,daf9d82f43505cc4aac346600105040db428b3fd,ok,EMPTY,0,MIT,Python,,0,0,0,0,0,0,0,0,11.24
nariatrip191/my-claude-skills,https://github.com/nariatrip191/my-claude-skills,https://github.com/nariatrip191/my-claude-skills.git,0e1b5b883e44d83b104b8b8201893c226394b1a6,ok,EMPTY,1,,Python,,0,0,0,0,0,0,0,0,11.17
nexscope-ai/eCommerce-Skills,https://github.com/nexscope-ai/eCommerce-Skills,https://github.com/nexscope-ai/eCommerce-Skills.git,56f3288dd1ba3ae7cae43d369115a915229e510b,ok,EMPTY,721,MIT,Python,,0,0,0,0,0,0,0,0,10.67
NobreTakeshi/claude-code-magento-agents,https://github.com/NobreTakeshi/claude-code-magento-agents,https://github.com/NobreTakeshi/claude-code-magento-agents.git,0f726bd7e80155e0fa15929fdca9e361f2a15e09,ok,EMPTY,6,,JavaScript,,0,0,0,0,0,0,0,0,1.98
OleynikAleksandr/antigravity-subagents,https://github.com/OleynikAleksandr/antigravity-subagents,https://github.com/OleynikAleksandr/antigravity-subagents.git,85a074544f7f6139c9ac1bd44f7578dd3c5d0bee,ok,EMPTY,55,MIT,TypeScript,,0,0,0,0,0,0,0,0,12.05
paraplegic-upperavon116/ei-ToDoListSenacLesson,https://github.com/paraplegic-upperavon116/ei-ToDoListSenacLesson,https://github.com/paraplegic-upperavon116/ei-ToDoListSenacLesson.git,e5c899cc81e1aed517f3983340cda24cf97326fb,ok,EMPTY,0,,JavaScript,,0,0,0,0,0,0,0,0,10.38
Poetic-squamouscell685/aahl-web-scraper,https://github.com/Poetic-squamouscell685/aahl-web-scraper,https://github.com/Poetic-squamouscell685/aahl-web-scraper.git,96a597bbdc722f0cd22a456522f32a0c489def1f,ok,EMPTY,0,GPL-3.0,HTML,,0,0,0,0,0,0,0,0,10.08
rinadelph/Agent-MCP,https://github.com/rinadelph/Agent-MCP,https://github.com/rinadelph/Agent-MCP.git,13d98b2c9e770a97a77521e605e7e41db024852d,ok,EMPTY,1274,NOASSERTION,TypeScript,,0,0,0,0,0,0,0,0,12.64
RomainTheLowCodeBeardedBear/Copilot-Studio-Skill-Builder,https://github.com/RomainTheLowCodeBeardedBear/Copilot-Studio-Skill-Builder,https://github.com/RomainTheLowCodeBeardedBear/Copilot-Studio-Skill-Builder.git,35c651a3879b8d3ea8cbf290133e94ff5e384089,ok,EMPTY,2,MIT,Python,,0,0,0,0,0,0,0,0,11.77
rubyt5673/trade-show-skills,https://github.com/rubyt5673/trade-show-skills,https://github.com/rubyt5673/trade-show-skills.git,89efe088568fc76a97a1e32b26a5026f6760158d,ok,EMPTY,1,MIT,,,0,0,0,0,0,0,0,0,11.42
shaswatco/agent-trajectory,https://github.com/shaswatco/agent-trajectory,https://github.com/shaswatco/agent-trajectory.git,19aa87eb423eb03626f2efa1e3d65deab86fee4e,ok,EMPTY,2,MIT,TypeScript,,0,0,0,0,0,0,0,0,10.83
ShouZhengAI/CS146S_CN,https://github.com/ShouZhengAI/CS146S_CN,https://github.com/ShouZhengAI/CS146S_CN.git,94a6f8c91a5c1f55d745bf321f841c8d8da6d47f,ok,EMPTY,1479,MIT,Python,,0,0,0,0,0,0,0,0,13.54
skalesapp/skales,https://github.com/skalesapp/skales,https://github.com/skalesapp/skales.git,658addcae6819d30372dfa7f150c5be35e5b5a18,ok,EMPTY,1670,NOASSERTION,TypeScript,,0,0,0,0,0,0,0,0,14.57
tanphan1105/antigravity-brain-os,https://github.com/tanphan1105/antigravity-brain-os,https://github.com/tanphan1105/antigravity-brain-os.git,27717bd537a796c95396417757c28937f55ae09d,ok,EMPTY,1,,HTML,,0,0,0,0,0,0,0,0,12.22
thada2402/AutoResearchClaw,https://github.com/thada2402/AutoResearchClaw,https://github.com/thada2402/AutoResearchClaw.git,0edefdb713285776b2d52a052bd147026be2d7c2,ok,EMPTY,1,MIT,Python,,0,0,0,0,0,0,0,0,16.36
thebiltheory/canary-guard,https://github.com/thebiltheory/canary-guard,https://github.com/thebiltheory/canary-guard.git,b2b0d7362ca86424e96e48fb44d95e6061f54365,ok,EMPTY,0,MIT,Shell,,0,0,0,0,0,0,0,0,11.64
TheGreatCBH/CCBeep,https://github.com/TheGreatCBH/CCBeep,https://github.com/TheGreatCBH/CCBeep.git,741f0812937c465860c82ba3e1c2580766e65331,ok,EMPTY,1,MIT,Shell,,0,0,0,0,0,0,0,0,10.42
tn082k6/openagent,https://github.com/tn082k6/openagent,https://github.com/tn082k6/openagent.git,931bc2bc1e22e3d2490142b292afc51fd87df775,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,12.35
ToseaAI/awesome-html-slide-skills,https://github.com/ToseaAI/awesome-html-slide-skills,https://github.com/ToseaAI/awesome-html-slide-skills.git,238ef7139efc83d3ca98916bc5d7f49a0cf9b565,ok,EMPTY,122,NOASSERTION,,,0,0,0,0,0,0,0,0,11.1
Turner-Levey/claude-code-hooks-settings-checker,https://github.com/Turner-Levey/claude-code-hooks-settings-checker,https://github.com/Turner-Levey/claude-code-hooks-settings-checker.git,06b8f73fc6d2cb35dae476b3d1421369b125d3e5,ok,EMPTY,0,MIT,JavaScript,,0,0,0,0,0,0,0,0,11.32
ViryaZheng/promptly-prompt,https://github.com/ViryaZheng/promptly-prompt,https://github.com/ViryaZheng/promptly-prompt.git,978f789c9abdbd9763eca9f928d41c934849f347,ok,EMPTY,37,MIT,Python,,0,0,0,0,0,0,0,0,12.51
VoxCore84/claude-code-context-injector,https://github.com/VoxCore84/claude-code-context-injector,https://github.com/VoxCore84/claude-code-context-injector.git,84c0a12944676acd314ef6a74adb5b4ef2240589,ok,EMPTY,0,MIT,Python,,0,0,0,0,0,0,0,0,10.92
wexare-ai/openbrowserclaw,https://github.com/wexare-ai/openbrowserclaw,https://github.com/wexare-ai/openbrowserclaw.git,19be222c34042c14d9c626d8963521874a8fd92e,ok,EMPTY,602,MIT,TypeScript,,0,0,0,0,0,0,0,0,10.72
Windy3f3f3f3f/how-claude-code-works,https://github.com/Windy3f3f3f3f/how-claude-code-works,https://github.com/Windy3f3f3f3f/how-claude-code-works.git,f4d6505ed9162a0ee6be089190f74c419ecacb19,ok,EMPTY,3465,MIT,,,0,0,0,0,0,0,0,0,11.67
XMUDeepLIT/Awesome-Self-Evolving-Agents,https://github.com/XMUDeepLIT/Awesome-Self-Evolving-Agents,https://github.com/XMUDeepLIT/Awesome-Self-Evolving-Agents.git,09779678bf855c597667de68d49c57f78d082dc4,ok,EMPTY,397,,,,0,0,0,0,0,0,0,0,11.89
zerooo002/claude-artifacts-local-sync,https://github.com/zerooo002/claude-artifacts-local-sync,https://github.com/zerooo002/claude-artifacts-local-sync.git,f0cce5888b564e8ce15367cc53fadef68ce8ed11,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,11.4
0xAgentive/agentic-pipeline,https://github.com/0xAgentive/agentic-pipeline,https://github.com/0xAgentive/agentic-pipeline.git,1a1cc34d0e5187b247b761b8612523d8d376401b,ok,INSTRUCTION_ONLY,0,MIT,PowerShell,,0,0,0,0,0,0,0,0,2.37
1052326311/dsh-plan-lattice,https://github.com/1052326311/dsh-plan-lattice,https://github.com/1052326311/dsh-plan-lattice.git,fa83db847ea02b6ae3b86299ce79f91ccb58a237,ok,INSTRUCTION_ONLY,1,MIT,JavaScript,,0,0,0,0,0,0,0,0,11.81
1186258278/OpenCodeChineseTranslation,https://github.com/1186258278/OpenCodeChineseTranslation,https://github.com/1186258278/OpenCodeChineseTranslation.git,6a338c2e0ff2cd5449d0856a690b4201cc8b2f56,ok,INSTRUCTION_ONLY,384,MIT,JavaScript,,0,0,0,0,0,0,0,0,11.74
20000419/fauxnix,https://github.com/20000419/fauxnix,https://github.com/20000419/fauxnix.git,80e0cb1097590ea7d866118079b323ac76cecb3c,ok,INSTRUCTION_ONLY,1,MIT,TypeScript,,0,0,0,0,0,0,0,0,11.16
2389-research/mcp-socialmedia,https://github.com/2389-research/mcp-socialmedia,https://github.com/2389-research/mcp-socialmedia.git,48c84759129b94058f8426f3b1a216290d06f12b,ok,INSTRUCTION_ONLY,14,MIT,TypeScript,Claude Code,1,22,22,0,0,0,0,0,11.5
5dive-ai/5dive-plugins,https://github.com/5dive-ai/5dive-plugins,https://github.com/5dive-ai/5dive-plugins.git,dbb9b7dbec471ebb525ab0259183beea0dcdf75b,ok,INSTRUCTION_ONLY,2,Apache-2.0,TypeScript,,5,195,0,5,5,0,0,0,11.1
717375bb/amc-repair-suite,https://github.com/717375bb/amc-repair-suite,https://github.com/717375bb/amc-repair-suite.git,1d90ea6bd7d9328e16f86845d5f7511313dcf599,ok,INSTRUCTION_ONLY,0,,TypeScript,Claude Code,1,14253,14253,0,0,0,0,0,11.55
AaronL725/ielts-writing-review-skills,https://github.com/AaronL725/ielts-writing-review-skills,https://github.com/AaronL725/ielts-writing-review-skills.git,4b2428d52e240e0522792d51bbfe85a9a4267e60,ok,INSTRUCTION_ONLY,20,MIT,Python,,2,5397,0,13,9,3,0,1,14.93
activeloopai/hivemind,https://github.com/activeloopai/hivemind,https://github.com/activeloopai/hivemind.git,551d366e9388a538ef68d28305b9a1b608f44878,ok,INSTRUCTION_ONLY,1561,Apache-2.0,TypeScript,,0,0,0,0,0,0,0,0,15.06
Aditi-Bahalkar/ads-autopilot-llm-agent,https://github.com/Aditi-Bahalkar/ads-autopilot-llm-agent,https://github.com/Aditi-Bahalkar/ads-autopilot-llm-agent.git,f023b41b2c6705158eaa4a7b7d0ce25c644b64eb,ok,INSTRUCTION_ONLY,1,,HTML,,0,0,0,0,0,0,0,0,10.62
aduhappy/multi-agent-project-skill,https://github.com/aduhappy/multi-agent-project-skill,https://github.com/aduhappy/multi-agent-project-skill.git,67dea003825e23de4ca8e39959b58003e7830163,ok,INSTRUCTION_ONLY,0,NOASSERTION,Python,,2,54,29,0,0,0,0,0,1.85
agent-anatomy/cursor,https://github.com/agent-anatomy/cursor,https://github.com/agent-anatomy/cursor.git,a0b4b3a698dec3bf8f5b7b1e8c6348a915aba5d2,ok,INSTRUCTION_ONLY,0,MIT,,Cursor,6,1002,444,0,0,0,0,0,10.73
agent-rails/agent-guard,https://github.com/agent-rails/agent-guard,https://github.com/agent-rails/agent-guard.git,1527f6510e9c299b707e6035ff593d35e4b76890,ok,INSTRUCTION_ONLY,0,Apache-2.0,Python,,0,0,0,1,1,0,0,0,10.19
agentplugins/agent-plugins-spec,https://github.com/agentplugins/agent-plugins-spec,https://github.com/agentplugins/agent-plugins-spec.git,bd383552095128f6effe895b9257cfd580a6d179,ok,INSTRUCTION_ONLY,1073,NOASSERTION,,OpenCode,1,1309,1309,0,0,0,0,0,10.64
Agents365-ai/paper-fetch,https://github.com/Agents365-ai/paper-fetch,https://github.com/Agents365-ai/paper-fetch.git,c3baaa3d5df9a7eecb16fc2b4c8d10416f59bcb7,ok,INSTRUCTION_ONLY,180,MIT,Python,,1,5626,0,3,2,1,0,0,11.46
ai-boost/awesome-harness-engineering,https://github.com/ai-boost/awesome-harness-engineering,https://github.com/ai-boost/awesome-harness-engineering.git,7a21c716c300474ab44d83e2a101cf68493fbc9a,ok,INSTRUCTION_ONLY,3608,NOASSERTION,Python,Claude Code|OpenCode,1,392,392,0,0,0,0,0,11.03
aibetter/aib,https://github.com/aibetter/aib,https://github.com/aibetter/aib.git,6bffe327c5f875ff1a8aaa2edb68adfe366fc862,ok,INSTRUCTION_ONLY,0,MIT,TypeScript,,0,0,0,0,0,0,0,0,2.0
aico-platform/ai-coding-guardrails,https://github.com/aico-platform/ai-coding-guardrails,https://github.com/aico-platform/ai-coding-guardrails.git,7f1876a7a2fd0de019fff04f155dab015ba543c0,ok,INSTRUCTION_ONLY,0,MIT,Shell,OpenCode,2,2063,2063,0,0,0,0,0,10.3
aisenseapi/aisense-free-public-rest-apis,https://github.com/aisenseapi/aisense-free-public-rest-apis,https://github.com/aisenseapi/aisense-free-public-rest-apis.git,1efd7ce039c4037cb8835c24967883a1a9151e4b,ok,INSTRUCTION_ONLY,0,MIT,HTML,,1,3774,0,4,4,0,0,0,12.32
aiurda/devcontext,https://github.com/aiurda/devcontext,https://github.com/aiurda/devcontext.git,40c927cf636332a053086fc96b7d64e420e82249,ok,INSTRUCTION_ONLY,46,MIT,HTML,Cursor,4,5659,388,0,0,0,0,0,12.97
alexta69/metube,https://github.com/alexta69/metube,https://github.com/alexta69/metube.git,ac46fff6d9ec74eebee18508888906c965c33634,ok,INSTRUCTION_ONLY,14435,AGPL-3.0,Python,OpenCode,1,2126,2126,0,0,0,0,0,11.07
alibaba/QLExpress,https://github.com/alibaba/QLExpress,https://github.com/alibaba/QLExpress.git,3f7812139ada42be5d8b0e820355e2179cc53643,ok,INSTRUCTION_ONLY,5611,Apache-2.0,Java,Claude Code|OpenCode,1,1322,1322,0,0,0,0,0,10.88
Alqudimi/PermitWeave,https://github.com/Alqudimi/PermitWeave,https://github.com/Alqudimi/PermitWeave.git,56b28dc47a80492baa9456c5758f9708bb012da2,ok,INSTRUCTION_ONLY,0,MIT,Python,,0,0,0,0,0,0,0,0,2.36
Alvasilev12/meeet-solana-state,https://github.com/Alvasilev12/meeet-solana-state,https://github.com/Alvasilev12/meeet-solana-state.git,75c99c72f22ddb5f1296bc5d5605985185d0569f,ok,INSTRUCTION_ONLY,2,,TypeScript,Claude Code|OpenCode,2,508,508,0,0,0,0,0,15.51
AlysisAi/Sylliptor,https://github.com/AlysisAi/Sylliptor,https://github.com/AlysisAi/Sylliptor.git,b87794de745830e21b660fbc8f15b645fa0c9ebd,ok,INSTRUCTION_ONLY,22,Apache-2.0,Python,,0,0,0,0,0,0,0,0,14.5
AMAP-ML/SkillClaw,https://github.com/AMAP-ML/SkillClaw,https://github.com/AMAP-ML/SkillClaw.git,3938f7537645c961d94498a0a79fc0a977019595,ok,INSTRUCTION_ONLY,2453,MIT,Python,,0,0,0,0,0,0,0,0,12.14
amkisko/prayers,https://github.com/amkisko/prayers,https://github.com/amkisko/prayers.git,080beb533e53c3637fd7b79e2201d989837331f9,ok,INSTRUCTION_ONLY,0,MIT,Makefile,OpenCode,1,3692,3692,0,0,0,0,0,10.57
AndyShaman/senior-fable,https://github.com/AndyShaman/senior-fable,https://github.com/AndyShaman/senior-fable.git,55a63b93a07961f80907f55ccc863d47a563bb86,ok,INSTRUCTION_ONLY,23,MIT,,,1,1120,0,2,2,0,0,0,10.75
anmolbhardwaj17/atlas,https://github.com/anmolbhardwaj17/atlas,https://github.com/anmolbhardwaj17/atlas.git,5f77d377583173324bb14dff81ac243392de4252,ok,INSTRUCTION_ONLY,0,,TypeScript,Claude Code,5,3674,2034,6,5,0,0,1,13.53
anosatsuk124/vcs-summarize-cc-hook,https://github.com/anosatsuk124/vcs-summarize-cc-hook,https://github.com/anosatsuk124/vcs-summarize-cc-hook.git,d662306cfb3757880c91b1a9a22ab66c9f1baba9,ok,INSTRUCTION_ONLY,0,Apache-2.0,Python,Claude Code,1,803,803,0,0,0,0,0,11.53
AnotherSava/claude-code-common,https://github.com/AnotherSava/claude-code-common,https://github.com/AnotherSava/claude-code-common.git,b082cdfe5ad205c152077b8d0906c55054ca6564,ok,INSTRUCTION_ONLY,0,GPL-3.0,Shell,Claude Code,2,8285,8285,0,0,0,0,0,13.05
anthropics/claude-for-legal,https://github.com/anthropics/claude-for-legal,https://github.com/anthropics/claude-for-legal.git,4a6c651889c97cc9140580363c73e0eb17379c2b,ok,INSTRUCTION_ONLY,9163,Apache-2.0,Python,Claude Code,26,127846,124266,13,13,0,0,0,10.43
anthropics/cwc-long-running-agents,https://github.com/anthropics/cwc-long-running-agents,https://github.com/anthropics/cwc-long-running-agents.git,ad107a974bced5244f74dd283dbf2bfd3baee3a1,ok,INSTRUCTION_ONLY,662,Apache-2.0,Shell,,1,430,430,0,0,0,0,0,10.22
AOSSIE-Org/Skills,https://github.com/AOSSIE-Org/Skills,https://github.com/AOSSIE-Org/Skills.git,465570f976beece20ce82d9365dbb5e0211758e5,ok,INSTRUCTION_ONLY,6,NOASSERTION,JavaScript,OpenCode,1,1176,1176,0,0,0,0,0,12.24
apervashov/typescript-learning-assistant,https://github.com/apervashov/typescript-learning-assistant,https://github.com/apervashov/typescript-learning-assistant.git,7c44cf5d87684bebecbe3e2e751e1a730377b7f5,ok,INSTRUCTION_ONLY,3,MIT,HTML,Claude Code|Cursor|Windsurf|Copilot|Gemini CLI|OpenCode,7,4199,3702,0,0,0,0,0,11.69
apoorv-kulkarni/initMe,https://github.com/apoorv-kulkarni/initMe,https://github.com/apoorv-kulkarni/initMe.git,29ec9894d51e61a098fbaf4b560e84fbb3d506b1,ok,INSTRUCTION_ONLY,0,MIT,Shell,Claude Code|OpenCode,2,779,779,0,0,0,0,0,10.27
ArangoGutierrez/coffee-bar,https://github.com/ArangoGutierrez/coffee-bar,https://github.com/ArangoGutierrez/coffee-bar.git,2a3cbf2166d1e2eb8b95f7a193446d5baa26fe68,ok,INSTRUCTION_ONLY,3,Apache-2.0,Swift,,0,0,0,0,0,0,0,0,12.5
ardamoustafa1/DesignOS,https://github.com/ardamoustafa1/DesignOS,https://github.com/ardamoustafa1/DesignOS.git,e85d4b15081a1825351e9b5a42056a1a84650daf,ok,INSTRUCTION_ONLY,3,NOASSERTION,HTML,Claude Code|OpenCode,4,16504,15325,4,4,0,0,0,28.82
arkgum/arkgum-agent-skills,https://github.com/arkgum/arkgum-agent-skills,https://github.com/arkgum/arkgum-agent-skills.git,23c319915330294613327a89f17cf5610c1e9966,ok,INSTRUCTION_ONLY,2,MIT,Python,OpenCode,2,2731,361,4,4,0,0,0,12.28
Arter2507/pilo-masterkit,https://github.com/Arter2507/pilo-masterkit,https://github.com/Arter2507/pilo-masterkit.git,918aab2fdc5474511991a2bd20ab7ee904e2b8b2,ok,INSTRUCTION_ONLY,0,Apache-2.0,Python,,1,397,397,0,0,0,0,0,17.88
asdfgh1445/ctf-super-hub,https://github.com/asdfgh1445/ctf-super-hub,https://github.com/asdfgh1445/ctf-super-hub.git,16926d6d4216183995693e9c7936c042eb7f2fae,ok,INSTRUCTION_ONLY,751,NOASSERTION,JavaScript,,0,0,0,0,0,0,0,0,12.7
aspose-imaging/agentic-net-examples,https://github.com/aspose-imaging/agentic-net-examples,https://github.com/aspose-imaging/agentic-net-examples.git,2e95d6dca0fe7343fb704c43471cd61fbb201891,ok,INSTRUCTION_ONLY,1,MIT,C#,,0,0,0,0,0,0,0,0,15.36
astroicers/skill-quality-research,https://github.com/astroicers/skill-quality-research,https://github.com/astroicers/skill-quality-research.git,fe43a0c63dc459ede62f0f8f8d74e2f85f2a8f45,ok,INSTRUCTION_ONLY,0,MIT,Python,Claude Code,1,1878,1878,0,0,0,0,0,10.41
aufamubarak/plan-execute-verify-claude-code,https://github.com/aufamubarak/plan-execute-verify-claude-code,https://github.com/aufamubarak/plan-execute-verify-claude-code.git,eb2f654c684cc003c3bb71463a7ca5f193e5a24f,ok,INSTRUCTION_ONLY,115,,HTML,,0,0,0,0,0,0,0,0,11.49
Austin1serb/Anthropic-Leaked-Source-Code,https://github.com/Austin1serb/Anthropic-Leaked-Source-Code,https://github.com/Austin1serb/Anthropic-Leaked-Source-Code.git,3fa80a4417103f205c97e7468337703094c0e3c1,ok,INSTRUCTION_ONLY,531,,TypeScript,,0,0,0,41,41,0,0,0,34.3
auth0/agent-skills,https://github.com/auth0/agent-skills,https://github.com/auth0/agent-skills.git,2bd167a3240643c2f99d12f923939013645b2467,ok,INSTRUCTION_ONLY,43,Apache-2.0,Python,Claude Code|OpenCode,2,1851,1851,0,0,0,0,0,12.15
avivsinai/agent-message-queue,https://github.com/avivsinai/agent-message-queue,https://github.com/avivsinai/agent-message-queue.git,55287d45b217de1c46cd8611ed420fdd9afcbeab,ok,INSTRUCTION_ONLY,82,MIT,Go,Claude Code|OpenCode,4,14213,3540,10,9,1,0,0,14.09
aws-samples/sample-agentcore-launchpad,https://github.com/aws-samples/sample-agentcore-launchpad,https://github.com/aws-samples/sample-agentcore-launchpad.git,8db1321ee43058a3542e257a92ba76c6c1bf7edd,ok,INSTRUCTION_ONLY,4,MIT-0,Python,Claude Code|OpenCode,3,8090,8090,0,0,0,0,0,39.9
axoviq-ai/synthadoc,https://github.com/axoviq-ai/synthadoc,https://github.com/axoviq-ai/synthadoc.git,f586814556cf0a8868065543c1533652e95a8d55,ok,INSTRUCTION_ONLY,979,AGPL-3.0,Python,,2,3918,3918,0,0,0,0,0,16.51
Ayont/ayontclaudian,https://github.com/Ayont/ayontclaudian,https://github.com/Ayont/ayontclaudian.git,030f24e9bdb551def4167b766ac053131e378ad6,ok,INSTRUCTION_ONLY,4,MIT,TypeScript,Claude Code|OpenCode,7,8217,8217,0,0,0,0,0,16.58
babarda/open-visualization-protocol,https://github.com/babarda/open-visualization-protocol,https://github.com/babarda/open-visualization-protocol.git,c7313682bcc5c923d0683d5b613334830ae03f81,ok,INSTRUCTION_ONLY,0,MIT,HTML,,1,879,0,4,3,1,0,0,25.46
bagaswap111/usability-heuristics-skill,https://github.com/bagaswap111/usability-heuristics-skill,https://github.com/bagaswap111/usability-heuristics-skill.git,d2bb5709e10c2e2f4b54a824c8eeecc4e16c3ce3,ok,INSTRUCTION_ONLY,0,,Mermaid,,8,25252,12626,0,0,0,0,0,67.17
BalianWang/busytok,https://github.com/BalianWang/busytok,https://github.com/BalianWang/busytok.git,499666bffa2e75574489c658f6faca1e4c18aea4,ok,INSTRUCTION_ONLY,14,Apache-2.0,Rust,,1,958,0,2,2,0,0,0,11.61
basstian20/CahayaMedika,https://github.com/basstian20/CahayaMedika,https://github.com/basstian20/CahayaMedika.git,7e1c8f56522558997b9b743a9adeb276ab3e30d6,ok,INSTRUCTION_ONLY,0,,TypeScript,Claude Code,2,7925,7896,2,2,0,0,0,11.16
batrachianai/toad,https://github.com/batrachianai/toad,https://github.com/batrachianai/toad.git,dd4f90e8b3700c3de80ad4b0eaa488ad0105e2c1,ok,INSTRUCTION_ONLY,3376,AGPL-3.0,Python,,0,0,0,0,0,0,0,0,12.48
berenddeboer/ready-for-agent,https://github.com/berenddeboer/ready-for-agent,https://github.com/berenddeboer/ready-for-agent.git,a40c36666922272c9de2914623e054406c5445a9,ok,INSTRUCTION_ONLY,25,MIT,TypeScript,Claude Code|OpenCode,1,949,949,0,0,0,0,0,2.83
berserkdisruptors/contextual-commits,https://github.com/berserkdisruptors/contextual-commits,https://github.com/berserkdisruptors/contextual-commits.git,12efb1d7a8e182270ab240f22f84bc44790ce300,ok,INSTRUCTION_ONLY,146,MIT,,,2,5493,0,4,3,0,0,1,10.44
Bhanunamikaze/Agentic-SEO-Skill,https://github.com/Bhanunamikaze/Agentic-SEO-Skill,https://github.com/Bhanunamikaze/Agentic-SEO-Skill.git,69199160e18372bc5cdf9ddec20ccb9fb1b509f1,ok,INSTRUCTION_ONLY,853,MIT,Python,,0,0,0,0,0,0,0,0,11.82
bingjiang0611/scry,https://github.com/bingjiang0611/scry,https://github.com/bingjiang0611/scry.git,d107ca92c02656ff4b9479d8b566eca83be7db2a,ok,INSTRUCTION_ONLY,2,MIT,TypeScript,Claude Code,1,2117,2117,0,0,0,0,0,11.77
BitRaptors/Archie,https://github.com/BitRaptors/Archie,https://github.com/BitRaptors/Archie.git,d4855aa0a760544ba9234fa0a06ecc2c5dd1f4bd,ok,INSTRUCTION_ONLY,16,MIT,Python,Claude Code,138,121748,121711,1,1,0,0,0,22.97
botextractai/ai-claude-agent-sdk-skills,https://github.com/botextractai/ai-claude-agent-sdk-skills,https://github.com/botextractai/ai-claude-agent-sdk-skills.git,f3582a2c197b6f2da74b9ae66f91d3e0f228134f,ok,INSTRUCTION_ONLY,3,,PLpgSQL,Claude Code,1,1241,0,3,3,0,0,0,2.16
braboj/solid-ai-templates,https://github.com/braboj/solid-ai-templates,https://github.com/braboj/solid-ai-templates.git,00fd16bd3458349e19c451d87b37ff4c2ba731ef,ok,INSTRUCTION_ONLY,3,CC-BY-4.0,Python,Claude Code,8,33028,33028,0,0,0,0,0,11.77
bracke/httpclient,https://github.com/bracke/httpclient,https://github.com/bracke/httpclient.git,2f4cc0856d1b7def211f366f5e46b26a855a028b,ok,INSTRUCTION_ONLY,0,MIT,Ada,OpenCode,1,967,967,0,0,0,0,0,10.77
bradleybeatz1313/awesome-agents-md,https://github.com/bradleybeatz1313/awesome-agents-md,https://github.com/bradleybeatz1313/awesome-agents-md.git,7aa7a355feeed01959883593e117e9cc0739bde1,ok,INSTRUCTION_ONLY,2,MIT,,,4,2320,1182,0,0,0,0,0,11.18
brefledev/claudemd-prove-it,https://github.com/brefledev/claudemd-prove-it,https://github.com/brefledev/claudemd-prove-it.git,a8294f6f01caaa472c99ace7c6dd7e74a885e158,ok,INSTRUCTION_ONLY,1,MIT,JavaScript,,4,814,198,0,0,0,0,0,11.34
brunowinter8192/iterative-dev,https://github.com/brunowinter8192/iterative-dev,https://github.com/brunowinter8192/iterative-dev.git,c2f19b4c7a592d171642060bf123fe18d7ec3dd8,ok,INSTRUCTION_ONLY,0,,Shell,,2,4604,0,8,7,0,0,1,11.06
Bubu89/full-page-pdf-snap,https://github.com/Bubu89/full-page-pdf-snap,https://github.com/Bubu89/full-page-pdf-snap.git,de7382d6c26e135d3e9d1662a83a426c0d9d389f,ok,INSTRUCTION_ONLY,1,MIT,Python,OpenCode,1,3367,3367,0,0,0,0,0,12.15
buckster123/ApexOS-RS,https://github.com/buckster123/ApexOS-RS,https://github.com/buckster123/ApexOS-RS.git,aea82afb2eda0e1676bf72015c6242d1032e9d25,ok,INSTRUCTION_ONLY,3,NOASSERTION,Rust,Claude Code|OpenCode,2,5684,5684,0,0,0,0,0,13.53
Cassette-Editor/oh-my-cassette,https://github.com/Cassette-Editor/oh-my-cassette,https://github.com/Cassette-Editor/oh-my-cassette.git,81c69ad6bfb406fd3a95dbdb01dfde5da42652ed,ok,INSTRUCTION_ONLY,138,MIT,Python,OpenCode,4,3854,0,7,6,0,0,1,12.05
catharinepalatial88/bazi-skill,https://github.com/catharinepalatial88/bazi-skill,https://github.com/catharinepalatial88/bazi-skill.git,e1d2635cc40b28da4b0f615168be78d9ea3c198a,ok,INSTRUCTION_ONLY,2,MIT,,,1,1239,0,3,3,0,0,0,11.74
chaitanya-aws/mjlab-ai-migration-toolkit,https://github.com/chaitanya-aws/mjlab-ai-migration-toolkit,https://github.com/chaitanya-aws/mjlab-ai-migration-toolkit.git,39bf7c2337801658d79515f93ca3142e9357d50a,ok,INSTRUCTION_ONLY,1,,HTML,,0,0,0,0,0,0,0,0,11.23
chaitin/OctoBus,https://github.com/chaitin/OctoBus,https://github.com/chaitin/OctoBus.git,60053ff0ed567f0e0f040dd46db534fc6a333222,ok,INSTRUCTION_ONLY,190,GPL-3.0,JavaScript,OpenCode,2,2144,831,2,2,0,0,0,11.93
